pa#ys	pays
gladi#ateurs	gladiateurs
glori#euse	glorieuse
glori#euses	glorieuses
glori#eux	glorieux
gouverneme#nt	gouvernement
graci#eux	gracieux
généreuseme#nt	généreusement
#haine	haine
#hais	hais
#hait	hait
#hait-il	hait-il
#hantise	hantise
#harangue	harangue
#harcelez	harcelez
hardi#esse	hardiesse
hardime#nt	hardiment
#hargneuse	hargneuse
#harnois	harnois
#hasard	hasard
#hasarda	hasarda
#hasardais	hasardais
#hasarde	hasarde
#hasarder	hasarder
#hasarderait	hasarderait
#hasardez	hasardez
#hasards	hasards
#hasardé	hasardé
#haussant	haussant
#haut	haut
#hautaine	hautaine
#haute	haute
#hautement	hautement
#hauteur	hauteur
#hauts	hauts
#haïr	haïr
#haïrait	haïrait
#haïrois	haïrois
#haïsse	haïsse
#haïssons	haïssons
heureuseme#nt	heureusement
#hideux	hideux
#honte	honte
#honteuse	honteuse
#honteusement	honteusement
#honteux	honteux
#hors	hors
humili#er	humilier
#hurler	hurler
#hâte	hâte
#hâter	hâter
#hâtez-vous	hâtez-vous
#hâtons	hâtons
#héros	héros
illusi#on	illusion
illusi#ons	illusions
impati#ence	impatience
impati#ent	impatient
impati#ente	impatiente
impati#ents	impatients
imperfecti#ons	imperfections
impi#été	impiété
impi#étés	impiétés
impressi#on	impression
impressi#ons	impressions
imprudemme#nt	imprudemment
imprude#nt	imprudent
imprécati#on	imprécation
impunéme#nt	impunément
impéri#euse	impérieuse
impéri#eux	impérieux
incessamme#nt	incessamment
inclinati#on	inclination
inclinati#ons	inclinations
indiffére#nt	indifférent
indignati#on	indignation
infinime#nt	infiniment
ingéni#euse	ingénieuse
ingéni#eux	ingénieux
injuri#euse	injurieuse
injuri#eux	injurieux
injusteme#nt	injustement
innocemme#nt	innocemment
innoce#nt	innocent
insati#able	insatiable
insensibleme#nt	insensiblement
insole#nt	insolent
instructi#ons	instructions
instrume#nt	instrument
intenti#on	intention
intenti#ons	intentions
inventi#on	invention
inventi#ons	inventions
invi#olable	inviolable
invi#olables	inviolables
irrésoluti#on	irrésolution
jou#et	jouet
jou#ez	jouez
jou#i	joui
jou#ir	jouir
jou#ira	jouira
jou#irez	jouirez
jou#isse	jouisse
jou#issent	jouissent
jou#issez	jouissez
jou#issons	jouissons
jou#it	jouit
jugeme#nt	jugement
justeme#nt	justement
justifi#er	justifier
justifi#ez-vous	justifiez-vous
justifi#é	justifié
justifi#ée	justifiée
labori#eux	laborieux
 le#nt	 lent
lenteme#nt	lentement
libreme#nt	librement
 li#en	 lien
 li#ens	 liens
 li#er	 lier
 li#on	 lion
 li#ons	 lions
lou#er	louer
lou#ez	louez
lou#is	louis
légi#on	légion
légi#ons	légions
légèreme#nt	légèrement
malaiséme#nt	malaisément
malici#euse	malicieuse
mari#age	mariage
mari#er	marier
mari#ez	mariez
mari#é	marié
mari#ée	mariée
mendi#er	mendier
mendi#é	mendié
mettri#ons	mettrions
meurtri#er	meurtrier
meurtri#ers	meurtriers
milli#on	million
molleme#nt	mollement
mome#nt	moment
montri#ez	montriez
monume#nt	monument
mouveme#nt	mouvement
mystéri#euse	mystérieuse
mystéri#eux	mystérieux
méconte#nt	mécontent
mécontenteme#nt	mécontentement
nati#on	nation
nati#ons	nations
 ni#er	 nier
